_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
119,1548,256,"kakabeak, lobster claw, new zealand parrotsbill, parrotsbill",Clianthus,Leguminosae,kowhai ngutukaka; lobster claw; new zealand parrotsbill; parrotsbill; kakabeak ,Clianthus ,Leguminosae
120,1660,644,oglethorpe oak,Quercus,Fagaceae,encino of hinton; encino prieto; hintons oak ,Quercus ,Fagaceae
121,1761,804,white seraya,Parashorea,Dipterocarpaceae,white lauan; white seraya ,Parashorea ,Dipterocarpaceae
122,1801,804,white seraya,Parashorea,Dipterocarpaceae,white lauan; white seraya ,Parashorea ,Dipterocarpaceae
123,1988,34,cherry mahogany,Tieghemella,Sapotaceae,african cherry; cherry mahogany; makore; baku ,Tieghemella ,Sapotaceae
124,2017,5,"african teak, afromosia, afrormosia",Pericopsis,Leguminosae,afrormosia; assamela; kokrodua; african teak ,Pericopsis ,Leguminosae
125,2080,235,"commoner lignum vitae, guaiac tree",Guaiacum,Zygophyllaceae,guayacn; guayacn real; holywood lignum vitae ,Guaiacum ,Zygophyllaceae
126,2408,433,spineless forest lizard,Calotes,Agamidae,crestless lizard; spineless forest lizard ,Calotes ,Agamidae
127,2408,434,spineless forest lizard,Calotes,Agamidae,crestless lizard; spineless forest lizard ,Calotes ,Agamidae
128,2619,711,palmiste poison,Hyophorbe,Palmae,rodrigues bottle palm; spindle palm; palmiste marron ,Hyophorbe ,Palmae
129,2619,712,palmiste poison,Hyophorbe,Palmae,rodrigues bottle palm; spindle palm; palmiste marron ,Hyophorbe ,Palmae
130,2774,283,goldenbrown mouse lemur,Microcebus,Cheirogaleidae,berthes mouse lemur; madame berthes mouse lemur ,Microcebus ,Cheirogaleidae
131,2775,160,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,franoiss langur; franoiss leaf monkey; tonkin leaf monkey; white sideburned black langur; francoiss langur ,Trachypithecus ,Cercopithecidae
132,2775,161,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,franoiss langur; franoiss leaf monkey; tonkin leaf monkey; white sideburned black langur; francoiss langur ,Trachypithecus ,Cercopithecidae
133,2775,178,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,germains silver langur; germains silver leaf monkey; indochinese lutung; indochinese silvered langur; germains langur ,Trachypithecus ,Cercopithecidae
134,2775,189,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,entelle dore; langur dor; semnopithque de gee; semnopithque dor; golden langur ,Trachypithecus ,Cercopithecidae
135,2775,361,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,purplefaced leaf monkey; purplefaced langur ,Trachypithecus ,Cercopithecidae
136,2775,362,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,purplefaced leaf monkey; purplefaced langur ,Trachypithecus ,Cercopithecidae
137,2775,601,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,whiterumped black langur; delacours langur ,Trachypithecus ,Cercopithecidae
138,2775,602,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,whiterumped black langur; delacours langur ,Trachypithecus ,Cercopithecidae
139,2775,807,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,trachypithecus francoisi poliocephalus; whiteheaded langur ,Trachypithecus ,Cercopithecidae
140,2775,808,"shortridges capped langur, shortridges langur",Trachypithecus,Cercopithecidae,trachypithecus francoisi poliocephalus; whiteheaded langur ,Trachypithecus ,Cercopithecidae
141,2776,160,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,franoiss langur; franoiss leaf monkey; tonkin leaf monkey; white sideburned black langur; francoiss langur ,Trachypithecus ,Cercopithecidae
142,2776,161,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,franoiss langur; franoiss leaf monkey; tonkin leaf monkey; white sideburned black langur; francoiss langur ,Trachypithecus ,Cercopithecidae
143,2776,178,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,germains silver langur; germains silver leaf monkey; indochinese lutung; indochinese silvered langur; germains langur ,Trachypithecus ,Cercopithecidae
144,2776,189,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,entelle dore; langur dor; semnopithque de gee; semnopithque dor; golden langur ,Trachypithecus ,Cercopithecidae
145,2776,361,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,purplefaced leaf monkey; purplefaced langur ,Trachypithecus ,Cercopithecidae
146,2776,362,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,purplefaced leaf monkey; purplefaced langur ,Trachypithecus ,Cercopithecidae
147,2776,601,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,whiterumped black langur; delacours langur ,Trachypithecus ,Cercopithecidae
148,2776,602,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,whiterumped black langur; delacours langur ,Trachypithecus ,Cercopithecidae
149,2776,807,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,trachypithecus francoisi poliocephalus; whiteheaded langur ,Trachypithecus ,Cercopithecidae
150,2776,808,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,trachypithecus francoisi poliocephalus; whiteheaded langur ,Trachypithecus ,Cercopithecidae
151,2777,247,"bornean agile gibbon, bornean whitebearded gibbon",Hylobates,Hylobatidae,moloch; silvery gibbon; javan gibbon ,Hylobates ,Hylobatidae
